2024 09 09 18:57:00,[-73.9375, 32.0625, 31.375, 31.375, 38.8125, 38.8125, 31.1875, 39.25, 38.0625, 0.0, 0.0, 31.5625, 31.5625, 38.5625, 31.75, 31.5625, 31.75, 38.25]
2024 09 09 18:57:00,[-73.9375, 32.0625, 31.625, 31.375, 39.0625, 38.5625, 31.1875, 39.25, 38.0625, 0.0, 0.0, 31.5625, 31.3125, 38.5625, 31.5625, 31.5625, 31.75, 38.25]
2024 09 09 18:57:00,[-74.25, 32.0625, 31.625, 31.375, 39.0625, 38.625, 31.4375, 39.25, 38.0625, 0.0, 0.0, 31.5625, 31.5625, 38.5625, 31.5625, 31.5625, 31.75, 38.25]
2024 09 09 18:57:00,[-74.25, 32.0625, 31.375, 31.375, 39.0625, 38.5625, 31.4375, 39.25, 38.0625, 0.0, 0.0, 31.3125, 31.3125, 38.5625, 31.75, 31.5625, 31.5, 38.25]
2024 09 09 18:57:00,[-74.25, 32.0625, 31.625, 31.375, 39.0625, 38.8125, 31.4375, 39.25, 37.8125, 0.0, 0.0, 31.5625, 31.5625, 38.5625, 31.5625, 31.5625, 31.5, 38.25]
2024 09 09 18:57:00,[-73.9375, 32.0625, 31.625, 31.375, 39.0625, 38.625, 31.1875, 39.25, 38.0625, 0.0, 0.0, 31.5625, 31.5625, 38.5625, 31.75, 31.5625, 31.5, 38.25]
2024 09 09 18:57:00,[-74.25, 32.0625, 31.375, 31.375, 39.0625, 38.8125, 31.4375, 39.25, 38.0625, 0.0, 0.0, 31.5625, 31.375, 38.3125, 31.5625, 31.5625, 31.75, 38.25]
2024 09 09 18:57:00,[-73.9375, 32.0625, 31.625, 31.375, 39.0625, 38.625, 31.4375, 39.25, 37.8125, 0.0, 0.0, 31.5625, 31.3125, 38.3125, 31.5625, 31.5625, 32.0, 38.25]
2024 09 09 18:57:01,[-73.9375, 32.0625, 31.625, 31.375, 39.0625, 38.8125, 31.1875, 39.25, 38.3125, 0.0, 0.0, 31.5625, 31.5625, 38.5625, 31.75, 31.5625, 31.75, 38.5]
2024 09 09 18:57:01,[-74.25, 32.0625, 31.625, 31.375, 39.0625, 38.5625, 31.4375, 39.25, 38.0625, 0.0, 0.0, 31.3125, 31.3125, 38.5625, 31.5625, 31.5625, 31.75, 38.25]
